Time_Sec,GPU_Util_%,CPU_Util_%,RAM_Usage_%,Power_TOT_mW
1.0,0.0,16.5,0.6127662422267047,5175
2.0,0.0,10.5,0.612654877713399,5095
3.0,0.0,26.2,0.609097487344704,5413
4.0,0.0,9.3,0.6091895068486561,5055
5.0,46.9,22.5,0.6089552753840507,6120
6.0,0.0,43.7,0.6136294479143466,6557
7.0,0.0,26.8,0.620759390956365,5921
8.0,0.0,26.5,0.6266700755710176,6001
9.0,0.0,25.5,0.629912717409149,5921
10.0,0.0,29.7,0.6328944630400525,6001
11.0,0.0,21.2,0.6348090961279657,5643
12.0,0.0,32.2,0.6636509365598717,6319
13.0,23.1,40.8,0.7031116186126177,6676
14.0,13.3,37.7,0.7519959344110072,6756
15.1,17.0,46.3,0.8030270234095527,6875
16.1,4.6,68.2,0.849146571384653,7471
17.1,0.0,72.5,0.878853186018473,7670
18.1,23.1,48.3,0.8866643870925915,7074
19.1,55.9,34.0,0.8844841522546347,7988
20.1,19.6,29.7,0.8847507996808597,8107
21.1,28.1,42.0,0.8811855667408051,8689
22.1,59.7,33.8,0.8690348095143985,8187
23.1,98.3,28.8,0.8691859097225926,8147
24.1,81.2,29.5,0.869254401512466,8028
25.1,70.8,28.7,0.8694577855297239,8068
26.1,29.5,29.2,0.8694928156817966,8028
27.1,34.3,29.0,0.8694515114726362,8028
28.1,26.4,28.7,0.8694379176822796,7988
29.1,59.9,28.3,0.8696831287467884,8068
30.1,70.9,29.0,0.8696611695469817,8028
31.1,72.6,29.3,0.8699137003447595,8028
32.1,44.6,27.5,0.8678944996387189,8107
33.1,34.2,28.7,0.8680748787799887,7988
34.1,54.6,29.3,0.8686343155369705,8028
35.1,62.8,44.7,0.869814883945629,8465
36.1,21.0,28.7,0.8704684315589254,8028
37.1,49.9,27.8,0.8713243175132984,8028
38.1,64.3,28.0,0.8721671325154055,8028
39.1,20.9,30.7,0.8733231275338041,8028
40.1,63.1,42.0,0.8749115096531597,8570
41.1,63.1,51.8,0.8740284361180736,8888
42.1,72.3,36.7,0.8716725276816627,8266
43.1,98.0,29.8,0.8726721941109609,8107
44.2,93.9,28.5,0.8732985541435442,8187
45.2,97.5,28.8,0.8740990192603095,8107
46.2,62.5,29.3,0.8747656378258719,8107
47.2,22.4,31.8,0.8735003696465301,8266
48.2,70.5,29.8,0.8691838183702301,8028
49.2,78.1,27.3,0.8699147460209408,8107
50.2,43.3,28.2,0.8706268515003884,8107
51.2,80.5,29.5,0.8716348833391369,8107
52.2,26.1,29.0,0.8723265981330497,7988
53.2,58.1,28.7,0.8731160836499118,8187
54.2,97.9,28.5,0.8737570831490329,8266
55.2,24.5,28.8,0.8747044657692674,8147
56.2,30.5,28.8,0.875217892774273,8107
57.2,15.1,27.7,0.8753736985252829,8107
58.2,71.3,31.3,0.8729085169279288,8107
59.2,98.2,29.3,0.8737711997774801,8147
60.2,40.1,28.0,0.874352072896178,8028
61.2,26.2,28.3,0.8750725437850759,8147
62.2,81.8,28.7,0.8757558931695386,8028
63.2,77.1,29.5,0.8767027529516824,8147
64.2,33.8,40.2,0.8697338440415803,8664
65.2,77.6,30.3,0.8699607557729168,8107
66.2,65.9,29.5,0.8708501033650905,8068
67.2,84.5,60.7,0.868752999783545,9205
68.2,95.8,37.2,0.8653127251471527,8266
69.2,98.1,28.2,0.8659542474843646,8107
70.2,63.4,29.8,0.8668561431907136,8068
71.2,14.1,28.7,0.867826530686936,8028
72.2,40.4,27.8,0.8685334077854774,8147
73.2,52.8,28.0,0.8692376706935656,7988
74.2,37.0,30.7,0.8670553445032463,8147
75.2,70.7,28.7,0.8676142584221374,8107
76.2,39.8,30.2,0.8683258410634945,8107
77.2,0.0,29.2,0.8628146047500886,6518
78.2,6.7,28.0,0.6399334322543001,6080
79.2,0.0,9.5,0.6406068477150407,5294
80.2,0.0,11.7,0.6412326849095333,5214
81.2,0.0,11.5,0.641904531856002,5214
82.2,0.0,19.3,0.6427494382104716,5493
83.2,0.0,10.5,0.6437004806973405,5254
