Time_Sec,GPU_Util_%,CPU_Util_%,RAM_Usage_%,Power_TOT_mW
1.0,47.3,23.5,0.5359602810359305,5882
2.0,0.0,19.2,0.5363607750133585,5533
3.0,0.0,5.3,0.5364904388598365,5015
4.0,0.0,7.2,0.5364867789932021,5015
5.0,0.0,36.7,0.5419310920310064,6160
6.0,0.0,22.0,0.552058988684738,5762
7.0,0.0,20.5,0.5567378667578496,5723
8.0,0.0,22.3,0.5612546650228637,5723
9.0,0.0,21.2,0.5655278207376409,5762
10.0,0.0,16.8,0.5689869175452961,5294
11.0,48.7,14.5,0.5728888582157209,5564
12.0,0.0,22.3,0.6175230231753212,5921
13.0,11.8,21.3,0.6799237492928615,5842
14.0,21.6,20.3,0.7452089731564467,5842
15.0,31.9,21.8,0.7591666588240953,5802
16.0,45.4,23.5,0.7578757715783122,5723
17.1,31.8,28.5,0.7841483856328275,6597
18.2,0.0,57.8,0.819873912366062,7153
19.2,13.9,62.2,0.843442407815802,7114
20.2,28.2,56.2,0.8844172289790332,7233
21.2,0.0,67.0,0.9168201196462686,7789
22.2,98.1,69.7,0.9052878798810857,8187
23.2,57.8,77.8,0.9012426815738263,8928
24.2,97.7,84.3,0.9081347332846048,8570
25.2,54.4,83.7,0.8883374689826302,8346
26.2,98.1,82.5,0.8889439611677693,8266
27.2,77.1,79.8,0.8887494653980523,8107
28.2,34.9,78.2,0.88967488881848,8266
29.2,73.7,82.3,0.8890286609384526,8187
30.2,62.4,76.5,0.8893005367455838,8187
31.2,10.2,82.2,0.8894322919444244,8227
32.2,9.3,76.7,0.8898322630837618,8227
33.2,0.0,80.2,0.8898965721689102,8227
34.2,32.5,83.0,0.8902609903180843,8306
35.2,54.5,81.8,0.8905271149062185,8266
36.2,58.0,75.7,0.8907676204279116,8227
37.2,18.3,76.2,0.890860685608045,8266
38.2,13.4,74.2,0.8911226274914542,8187
39.2,40.1,76.0,0.8915262584974261,8266
40.2,40.7,76.5,0.8919173413892226,8187
41.3,61.5,77.8,0.8923089471191098,8187
42.3,81.6,79.0,0.8927831612673177,8107
43.3,0.0,76.2,0.8932030002540993,8147
44.3,47.6,78.0,0.8933462578909339,8266
45.3,16.0,77.8,0.8936118596409776,8147
46.3,28.4,78.2,0.8942199203403886,8187
47.3,57.3,78.7,0.8933054765198641,8187
48.3,40.0,78.7,0.8898876839213693,8346
49.3,34.4,79.2,0.8905647592487445,8187
50.3,3.5,78.0,0.8906039721055422,8147
51.3,17.6,78.2,0.8909375428073687,8227
52.3,16.1,79.3,0.8897412892559909,8227
53.3,38.6,77.8,0.8756837415130307,8187
54.3,97.9,77.2,0.8760962607665433,8068
55.3,85.7,77.3,0.8768543759979672,8147
56.3,89.4,78.8,0.8802538692632897,8227
57.3,4.0,76.5,0.8815065893284563,8306
58.3,61.6,77.5,0.8815327312329881,8266
59.3,63.0,87.0,0.880096494998008,8425
60.3,15.8,77.7,0.8802847167106373,8227
61.3,67.2,70.8,0.8801189770359054,8147
62.3,54.4,69.3,0.880283671034456,8147
63.3,68.3,78.5,0.8804096750142997,8068
64.3,32.7,73.3,0.8808985286290453,7909
65.3,97.9,79.8,0.8882867536878385,8465
66.3,97.5,69.8,0.8882449266405875,8266
67.3,97.5,56.0,0.8861771019921177,8107
68.3,0.0,60.2,0.8865566824459202,8068
69.3,97.9,75.8,0.8867715689011721,8068
70.3,4.0,76.7,0.8872734934681837,8147
71.3,52.3,76.8,0.8870131200990464,8107
72.3,31.6,78.5,0.8875913790272911,8227
73.3,58.8,76.8,0.8879934415189911,8187
74.3,57.8,77.8,0.8857002736534566,8266
75.3,58.0,25.2,0.8852825260190376,8068
76.3,5.3,50.3,0.8852004404388075,8107
77.3,56.7,76.5,0.8856532182252993,8147
78.3,57.3,68.5,0.8856432843015772,8107
79.3,0.0,46.7,0.8870042318515056,6716
80.3,0.0,23.2,0.6616427154537345,6080
81.3,66.1,23.2,0.5263594051775611,6160
82.3,0.0,10.5,0.5266542858606804,5334
