Time_Sec,GPU_Util_%,GPU_Freq_MHz,CPU_Util_%,RAM_Usage_%,Power_TOT_mW
1.0,0,306,12.3,0.3671959143639303,4776
2.0,0,306,10.2,0.36723721827075706,4697
3.0,0,306,5.3,0.3673250544270468,4577
4.0,0,306,6.7,0.3672251930826936,4697
5.0,0,306,5.5,0.3671917316898213,4538
6.0,0,306,5.0,0.36722362457990265,4538
7.0,0,306,8.7,0.36718964035276674,4657
8.0,0,306,4.5,0.36732034891867416,4538
9.0,0,306,6.7,0.36731616624456515,4737
10.0,0,306,6.0,0.3673193032501469,4577
11.0,0,306,5.7,0.36721944190579364,4577
12.0,0,306,8.7,0.36739354571558236,4697
13.0,0,306,7.3,0.3674191645945002,4538
14.0,0,306,5.7,0.36746517400969964,4577
15.0,0,306,8.8,0.36750700075079,4617
16.0,0,306,5.2,0.367474585026445,4538
17.0,0,306,6.8,0.36739511421837323,4657
18.0,0,306,7.0,0.36739720555542776,4577
19.1,0,306,4.8,0.3674630826726451,4538
20.1,0,306,30.7,0.3730302219117749,5683
21.1,0,306,21.3,0.3852488586528025,5564
22.1,0,306,23.0,0.38971595460125524,5723
23.1,0,306,22.3,0.3954373299481558,5643
24.1,0,306,16.3,0.3994040735063148,5166
25.1,0,306,29.2,0.4256362370154111,5921
26.1,0,306,21.7,0.4804538410542012,5762
27.1,0,306,20.2,0.546378536189542,5762
28.1,0,306,19.7,0.5939041707534878,5643
29.1,0,408,16.3,0.6736285534430727,5683
30.1,0,408,24.8,0.7430269594259699,6120
31.1,0,408,24.2,0.7639288276173606,7074
32.1,0,408,25.7,0.7636397002695734,7273
33.1,0,408,26.0,0.7621109328827199,7312
34.1,0,408,25.0,0.7622421642828909,7193
35.1,0,408,26.5,0.7623096099028992,6756
36.1,0,408,24.7,0.7625072412545513,6676
37.1,0,408,24.3,0.7630368723636082,6955
38.1,0,408,28.3,0.7626379498204587,6915
39.1,0,408,26.8,0.7627027812691488,6915
40.1,0,408,26.2,0.7626510206770495,6955
41.1,0,408,28.0,0.7628036882820294,6955
42.1,0,408,26.0,0.7626667057049583,6955
43.1,0,408,25.8,0.7626395183232496,7114
44.1,0,408,26.3,0.7627864347513296,7034
45.1,0,408,25.5,0.7627649985465208,6915
46.1,0,408,27.5,0.7628381953434289,6955
47.1,0,408,26.0,0.7626437009973587,6915
48.1,0,408,28.2,0.7627247403082212,7074
49.1,0,408,26.3,0.762606579764641,7034
50.1,0,408,25.3,0.7625605703494415,6915
51.1,0,408,28.7,0.7628334898350563,6994
52.1,0,408,26.5,0.7628277386581563,6994
53.1,0,408,26.3,0.7627284001480666,7034
54.1,0,408,26.7,0.762850743365756,7034
55.1,0,408,26.7,0.7627859119170659,6915
56.1,0,408,29.0,0.7629265543339824,6994
57.1,0,408,25.5,0.7627864347513296,7034
58.1,0,408,27.2,0.7617993236615965,6915
59.1,0,408,29.5,0.7619901581678215,6994
60.1,0,408,27.0,0.7619237582163405,7114
61.1,0,408,29.5,0.7622954933777812,6994
62.1,0,408,26.0,0.7621564194636558,6955
63.1,0,408,25.5,0.7620241423949574,6875
64.1,0,408,28.3,0.7619310778960313,7074
65.1,0,408,26.7,0.7620947250205474,6994
66.1,0,408,26.5,0.7623279091021262,6955
67.2,0,408,28.2,0.7621945863649007,6994
68.2,0,408,26.8,0.7620298935718572,7074
69.2,0,408,27.7,0.7622609863163816,7233
70.2,0,408,27.0,0.7622552351394817,7034
71.2,0,408,27.3,0.7624011058990344,7034
72.2,0,408,28.8,0.7623671216718985,7193
73.2,0,408,25.2,0.76245809483377,7153
74.2,0,408,28.0,0.7625783467144049,7114
75.2,0,408,25.8,0.7624502523198157,7074
76.2,0,408,27.0,0.7625213577796692,6875
77.2,0,408,27.7,0.7626264474666589,6994
78.2,0,408,24.5,0.7625218806139329,6915
79.2,0,408,25.3,0.7624790082043152,6955
80.2,0,408,28.3,0.7624533893253974,6915
81.2,0,408,26.5,0.7625501136641689,6994
82.2,0,408,29.8,0.7625783467144049,7074
83.2,0,408,25.8,0.7624152224241524,6994
84.2,0,408,24.7,0.7624094712472526,6955
85.2,0,408,29.2,0.7625767782116141,6955
86.2,0,408,27.0,0.7625025357461787,7074
87.2,0,408,28.0,0.762590894736732,7153
88.2,0,408,25.0,0.7624345672919067,7034
89.2,0,408,25.3,0.7624005830647708,7034
90.2,0,408,27.3,0.7624706428560972,7034
91.2,0,408,26.7,0.7624967845692787,6994
92.2,0,408,25.7,0.7625600475151779,7074
93.2,0,408,29.3,0.762459663336561,6994
94.2,0,408,25.3,0.7624842365469515,6955
95.2,0,408,27.2,0.7625213577796692,7074
96.2,0,408,26.7,0.7627200347998486,6955
97.2,0,408,26.3,0.762784343414275,7034
98.2,0,408,27.2,0.7628209418127291,7074
99.2,0,408,26.7,0.7627472221815573,7034
100.2,0,408,26.8,0.7629208031570824,7034
101.2,0,408,26.2,0.7628167591386201,6994
102.2,0,408,25.5,0.7627806835744296,6994
103.2,0,408,28.0,0.7628716567363012,6955
104.2,0,408,25.2,0.762870611067774,6994
105.2,0,408,25.2,0.762842378017538,7034
106.2,0,408,29.0,0.763048374717408,7114
107.2,0,408,27.3,0.7610595131785605,6875
108.2,0,408,28.7,0.7610474879904969,7114
109.2,0,408,24.3,0.7609261904413348,7074
110.2,0,408,25.0,0.7608435826276814,7153
111.2,0,408,28.2,0.7610459194877061,7233
112.2,0,408,28.0,0.7610537620016605,7193
113.3,0,408,26.0,0.7611232989587233,7233
114.3,0,408,24.0,0.7610469651562334,7233
115.3,0,408,24.2,0.7612811949063395,6597
116.3,0,408,32.3,0.7601644209192263,6041
117.3,0,408,15.3,0.7507408561515634,5484
118.3,0,306,22.0,0.36598503020936374,5524
119.3,0,306,15.8,0.36568230917072214,5015
120.3,0,306,4.7,0.3655542147761328,4737
121.3,0,306,8.3,0.3658177232450022,4856
122.3,0,306,6.8,0.3657711909955392,4856
123.3,0,306,5.0,0.36570531387832184,4617
124.3,0,306,7.5,0.36573720676840327,4617
125.3,0,306,4.0,0.3656713296511859,4538
126.3,0,306,6.8,0.3658015153828297,4737
127.3,0,306,6.7,0.3657873988577117,4657
128.3,0,306,4.8,0.3657068823811127,4538
129.3,0,306,8.3,0.36577223666406644,4657
130.3,0,306,5.3,0.36570113120421277,4577
131.3,0,306,4.8,0.3657659626529029,4538
132.3,0,306,10.0,0.36581667757647496,4776
133.3,0,306,5.7,0.36573929810545774,4577
