Frame_Number,Time_Sec,Processing_Time_ms,FPS,Object_ID,Bbox_X,Bbox_Y,A_real,Distance_Est,v_x,v_z,omega_z,current_pitch_rad,Pipeline_Latency_ms
1,5.844,819.2,0.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.668,61.2,1.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.735,59.9,15.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,6.8,57.6,15.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.864,58.8,15.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.928,58.9,15.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.992,68.5,15.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,7.066,69.3,13.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,7.142,63.9,13.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,7.211,63.2,14.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,7.28,61.5,14.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,7.347,57.3,14.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,7.41,76.3,15.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,7.491,58.4,12.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,7.555,60.4,15.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,7.621,60.8,15.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,7.688,65.7,15.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,7.759,64.8,14.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,7.829,56.1,14.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,7.891,56.4,16.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,7.953,57.3,16.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,8.016,56.5,15.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,8.078,57.7,16.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,8.141,55.9,15.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,8.203,56.3,16.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,8.264,57.9,16.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,8.328,56.7,15.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,8.39,55.6,16.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,8.451,56.1,16.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,8.513,57.8,16.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,8.576,58.2,15.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32,8.64,56.7,15.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,8.702,58.9,16.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,8.767,59.7,15.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,8.832,59.9,15.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,8.897,63.3,15.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,8.966,59.7,14.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,9.031,56.9,15.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,9.094,56.4,16.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,9.155,56.9,16.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,9.218,58.8,16.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,9.282,58.6,15.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,9.347,57.9,15.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,9.41,57.1,15.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,9.473,57.1,16.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,9.535,56.9,16.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,9.598,57.8,16.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,9.661,57.1,15.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
49,9.723,58.8,16.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,9.788,57.3,15.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,9.851,57.5,15.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,9.914,58.1,15.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,9.978,58.8,15.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,10.042,57.7,15.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,10.105,58.0,15.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,10.168,74.0,15.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,10.248,88.0,12.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,10.341,102.2,10.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,10.449,126.0,9.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,10.581,111.2,7.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,10.697,121.3,8.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,10.824,121.8,7.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,10.952,107.5,7.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64,11.065,137.9,8.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,11.208,107.4,7.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,11.321,116.4,8.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,11.443,108.6,8.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,11.557,113.1,8.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,11.676,114.4,8.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,11.796,95.6,8.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,11.897,105.2,9.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,12.007,109.4,9.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,12.122,74.5,8.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,12.202,113.1,12.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,12.321,78.6,8.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,12.405,77.8,11.9,1,786,677,210905.0,0.8945,0.3876,0.3731,0.2281,0.037343,79.5
77,12.49,78.1,11.7,1,789,687,210622.2,0.8951,0.3884,0.4061,0.2355,0.037255,80.7
78,12.576,83.1,11.6,1,794,707,227729.02,0.8608,0.3387,0.4591,0.245,0.037071,84.2
79,12.666,86.4,11.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,12.759,72.5,10.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,12.837,73.4,12.8,1,724,711,208317.02,0.9,0.3951,0.4459,0.1096,0.037027,76.0
82,12.919,93.2,12.2,1,742,660,198561.75,0.9219,0.4234,0.2848,0.1734,0.037141,94.4
83,13.019,84.7,10.0,1,759,661,202537.47,0.9128,0.4119,0.3407,0.2003,0.037393,86.7
84,13.111,75.8,10.8,1,748,651,207147.16,0.9026,0.3985,0.3058,0.1584,0.037703,77.3
85,13.194,79.9,12.1,1,747,636,209298.14,0.8979,0.3923,0.2692,0.1663,0.037751,81.1
86,13.282,77.0,11.5,1,764,623,215637.7,0.8846,0.3739,0.2445,0.2093,0.037615,79.5
87,13.367,74.7,11.7,1,765,616,216284.6,0.8833,0.372,0.2367,0.1963,0.037649,75.8
88,13.448,81.6,12.3,1,742,594,211583.42,0.8931,0.3856,0.1741,0.1394,0.037755,84.0
89,13.538,91.6,11.1,1,691,609,210604.0,0.8951,0.3885,0.2467,0.0393,0.037855,92.8
90,13.637,77.3,10.2,1,689,617,209332.36,0.8978,0.3922,0.2578,0.0747,0.037653,78.6
91,13.721,80.7,11.9,1,701,617,212287.45,0.8916,0.3836,0.2479,0.1059,0.037571,83.2
92,13.81,75.8,11.3,1,697,614,213234.77,0.8896,0.3808,0.2376,0.0853,0.037707,76.9
93,13.892,75.3,12.1,1,695,608,212559.77,0.891,0.3828,0.2213,0.0841,0.037826,77.7
94,13.976,75.8,12.0,1,703,596,213391.39,0.8893,0.3804,0.1891,0.106,0.037574,76.9
95,14.059,78.6,12.1,1,710,568,213931.58,0.8881,0.3788,0.112,0.1157,0.037541,80.6
96,14.145,79.4,11.6,1,713,557,214727.19,0.8865,0.3765,0.1093,0.1168,0.037753,81.0
