Frame_Number,Time_Sec,Processing_Time_ms,FPS,Object_ID,Bbox_X,Bbox_Y,A_real,Distance_Est,v_x,v_z,omega_z,current_pitch_rad,Pipeline_Latency_ms
1,5.681,776.5,0.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.464,30.0,1.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.499,29.7,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,6.535,29.7,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.57,29.8,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.606,29.8,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.641,30.5,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.678,30.5,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,6.715,30.1,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,6.75,31.1,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,6.788,29.9,26.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,6.824,32.0,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,6.862,29.7,26.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,6.898,31.9,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,6.936,29.8,26.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,6.972,30.2,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,7.008,29.6,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,7.044,29.7,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,7.079,29.8,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,7.115,29.7,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,7.151,30.8,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,7.187,29.7,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,7.223,30.4,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,7.259,29.9,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.295,30.1,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,7.331,29.7,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,7.367,30.1,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,7.402,30.5,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,7.439,30.5,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,7.475,30.2,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,7.511,29.5,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32,7.546,29.8,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,7.581,29.7,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,7.617,30.3,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,7.653,30.0,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,7.689,30.2,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,7.725,30.5,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,7.761,30.2,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,7.797,29.7,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,7.833,29.7,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,7.868,30.1,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,7.904,30.2,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,7.94,30.0,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.975,30.0,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,8.011,29.4,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,8.046,29.9,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,8.082,29.6,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,8.117,30.1,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
49,8.154,30.4,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,8.19,30.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,8.226,30.3,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,8.262,30.0,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,8.298,29.6,27.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,8.333,29.7,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,8.369,29.7,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,8.404,29.9,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,8.44,29.8,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,8.476,29.8,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,8.511,29.3,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,8.546,29.2,28.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,8.581,29.5,28.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,8.616,29.9,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,8.652,29.4,28.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64,8.687,29.5,28.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,8.722,29.9,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,8.758,29.6,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,8.793,30.2,28.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,8.829,30.0,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,8.865,29.9,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,8.9,29.4,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,8.935,29.5,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,8.971,29.4,28.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,9.006,30.0,28.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,9.041,29.8,28.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,9.077,29.4,28.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
