Frame_Number,Time_Sec,Processing_Time_ms,FPS,Object_ID,Bbox_X,Bbox_Y,A_real,Distance_Est,v_x,v_z,omega_z,current_pitch_rad,Pipeline_Latency_ms
1,6.345,801.9,0.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.153,30.8,1.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,7.19,31.2,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.226,30.9,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.263,30.7,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.299,31.3,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.336,32.0,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,7.374,31.7,26.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,7.412,31.3,26.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,7.449,31.1,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,7.486,31.2,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,7.523,31.1,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,7.559,30.6,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,7.596,30.7,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,7.632,30.7,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,7.669,30.6,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,7.705,30.7,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,7.741,30.7,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,7.778,31.2,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,7.815,30.7,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,7.851,30.8,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,7.888,30.5,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,7.924,31.4,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,7.961,30.3,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.997,30.8,27.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,8.034,30.4,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,8.07,30.9,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,8.106,30.8,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,8.143,31.4,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,8.18,30.6,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,8.216,30.6,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32,8.253,30.6,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,8.289,31.3,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,8.327,30.8,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,8.363,31.0,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,8.4,30.6,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,8.436,30.6,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,8.473,31.0,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,8.51,31.2,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,8.546,30.5,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,8.583,30.9,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,8.619,30.8,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,8.656,30.7,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,8.692,30.5,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,8.728,30.5,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,8.765,31.2,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,8.802,31.3,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,8.839,31.0,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
49,8.876,30.6,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,8.912,30.6,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,8.949,30.7,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,8.986,31.0,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,9.022,30.8,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,9.059,31.1,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,9.096,31.3,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,9.133,30.7,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,9.17,31.7,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,9.207,30.4,26.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,9.244,31.6,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,9.281,31.0,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,9.318,31.6,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,9.355,30.9,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,9.392,31.1,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64,9.428,30.6,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,9.465,31.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,9.502,30.6,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,9.538,30.8,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,9.575,30.7,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,9.611,31.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,9.648,31.2,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,9.685,30.8,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,9.722,31.5,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,9.759,30.6,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,9.796,30.9,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,9.832,30.4,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,9.868,30.6,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77,9.905,30.7,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
78,9.941,30.5,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
79,9.977,31.5,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,10.015,31.2,26.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,10.052,31.4,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
82,10.089,31.9,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
83,10.127,30.9,26.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
84,10.164,31.0,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
85,10.2,31.0,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
86,10.237,31.2,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
87,10.274,30.7,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
88,10.311,31.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
89,10.348,31.2,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
90,10.385,30.6,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
91,10.421,30.7,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
92,10.458,31.1,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
93,10.495,31.1,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
94,10.532,31.0,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
95,10.569,30.5,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
96,10.605,30.6,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
97,10.641,31.1,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
98,10.678,30.6,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
99,10.715,31.0,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100,10.752,30.9,26.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101,10.789,30.5,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
102,10.825,31.2,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
103,10.862,30.8,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104,10.899,32.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105,10.936,31.1,26.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106,10.973,31.1,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
107,11.01,31.2,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
108,11.047,31.0,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
109,11.084,31.4,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
110,11.121,30.7,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
111,11.157,30.7,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
112,11.194,31.0,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
113,11.231,30.4,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
114,11.267,31.1,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
115,11.304,30.7,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
116,11.34,31.2,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117,11.377,31.2,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
118,11.414,31.0,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,11.45,31.3,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
120,11.488,30.5,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
121,11.524,30.8,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
122,11.561,30.8,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
123,11.598,31.1,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
124,11.635,31.0,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
125,11.672,30.7,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
126,11.708,31.0,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
127,11.746,31.5,26.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
128,11.783,30.7,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
129,11.82,30.9,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
130,11.857,30.4,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
131,11.893,30.4,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
132,11.929,30.9,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
133,11.967,32.2,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
134,12.004,30.6,26.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
135,12.041,30.6,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
136,12.077,31.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
137,12.114,31.1,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
138,12.151,31.0,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
139,12.188,30.7,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
140,12.224,30.3,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
141,12.261,30.6,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
142,12.297,30.4,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
143,12.333,30.6,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
144,12.37,30.6,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
145,12.406,30.7,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
146,12.443,31.0,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
147,12.479,31.8,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
148,12.517,31.8,26.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
149,12.555,31.4,26.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
150,12.593,32.0,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
151,12.63,31.2,26.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,12.667,31.0,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
153,12.704,30.5,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
154,12.74,30.5,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
155,12.776,31.2,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
156,12.813,31.0,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
157,12.85,30.8,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
158,12.887,30.7,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
159,12.923,32.6,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
160,12.961,31.2,26.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,12.999,30.6,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
162,13.035,31.0,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
163,13.072,30.7,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
164,13.108,31.2,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
165,13.145,30.8,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
166,13.182,31.2,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
167,13.219,30.6,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
168,13.255,31.2,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
169,13.292,30.6,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
170,13.329,31.2,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
171,13.366,30.9,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
172,13.402,30.7,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
173,13.438,30.6,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
174,13.475,30.7,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
175,13.511,31.4,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
176,13.548,31.3,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
177,13.586,31.2,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
178,13.623,30.5,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
179,13.659,31.2,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
180,13.696,30.9,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
181,13.733,31.1,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
182,13.77,31.5,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
183,13.808,30.8,26.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
184,13.844,31.1,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
185,13.881,30.9,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
186,13.918,31.0,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
187,13.955,32.3,26.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
188,13.994,32.1,25.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
189,14.033,33.3,26.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
190,14.072,30.7,25.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
191,14.109,31.1,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
192,14.146,30.8,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
193,14.183,30.8,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
194,14.219,30.9,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
195,14.256,31.3,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
196,14.293,30.5,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
197,14.33,31.1,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
198,14.367,31.2,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
199,14.404,30.8,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
200,14.44,30.9,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
201,14.477,30.5,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
202,14.513,30.9,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
203,14.55,30.6,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
204,14.587,30.5,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
205,14.623,30.4,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
206,14.659,31.3,27.6,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
207,14.696,30.6,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
208,14.732,30.9,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
209,14.769,30.9,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
210,14.806,30.9,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
211,14.843,32.0,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
212,14.881,30.5,26.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
213,14.918,31.6,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
214,14.955,31.2,26.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
215,14.992,30.6,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
216,15.028,31.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
217,15.065,30.9,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
218,15.102,30.9,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
219,15.139,30.6,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
220,15.175,31.2,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
221,15.212,31.2,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
222,15.249,31.0,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
223,15.286,30.6,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
224,15.323,31.4,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
225,15.36,30.9,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
226,15.397,30.9,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
227,15.433,30.9,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
228,15.47,31.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
229,15.507,30.8,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
230,15.543,31.9,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
231,15.581,31.0,26.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
232,15.618,31.0,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
233,15.655,30.4,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
234,15.691,30.7,27.7,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
235,15.727,30.7,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
236,15.764,30.8,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
237,15.8,31.1,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
238,15.837,30.9,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
239,15.874,31.1,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
240,15.911,31.3,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
241,15.948,30.8,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
242,15.984,31.2,27.4,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
243,16.021,31.4,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
244,16.058,31.3,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
245,16.096,31.1,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
246,16.132,31.1,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
247,16.169,31.1,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
248,16.206,31.0,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
249,16.243,31.1,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
250,16.28,31.3,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
251,16.317,31.2,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
252,16.354,31.6,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
253,16.391,31.0,26.8,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
254,16.428,30.9,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
255,16.464,31.4,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
256,16.501,30.7,26.9,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
257,16.538,31.1,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
258,16.574,30.5,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
259,16.611,30.8,27.5,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
260,16.648,31.0,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
261,16.684,30.7,27.1,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
262,16.721,30.6,27.2,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
263,16.758,31.1,27.3,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
264,16.795,30.6,27.0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
