Time_Sec,GPU_Util_%,GPU_Freq_MHz,CPU_Util_%,RAM_Usage_%,Power_TOT_mW
1.0,0,306,11.3,0.36120737070831493,4697
2.0,0,306,10.3,0.3617338648117901,4737
3.0,0,306,5.3,0.3616329577989096,4577
4.0,0,306,7.3,0.3617317734747356,4697
5.0,0,306,5.2,0.36169778924759965,4538
6.0,0,306,6.0,0.36166380502046375,4538
7.0,0,306,8.3,0.3617291593034175,4577
8.0,0,306,6.0,0.36176052935923525,4577
9.0,0,306,5.8,0.36170458609302686,4657
10.0,0,306,6.3,0.361725499463572,4577
11.0,0,306,8.7,0.3617898080779985,4617
12.0,0,306,9.8,0.3617563466851262,4657
13.0,0,306,5.8,0.36159008538929194,4577
14.0,0,306,5.8,0.36178719390668035,4538
15.0,0,306,8.5,0.3618849639139791,4577
16.0,0,306,7.0,0.3618515025211068,4577
17.0,0,306,9.2,0.3617851025696258,4737
18.0,0,306,5.2,0.36175007267396264,4577
19.1,0,306,4.7,0.36171661128109034,4538
20.1,0,306,32.8,0.3679576838860389,5603
21.1,0,306,22.2,0.3802061221800934,5603
22.1,0,306,23.3,0.38468994882498225,5683
23.1,0,306,22.5,0.3903480612259836,5564
24.1,0,306,17.2,0.3941678883560627,5126
25.1,0,306,13.8,0.3975145504775568,5325
26.1,0,306,20.7,0.4538295518473826,5723
27.1,0,306,22.2,0.5145583200707708,5802
28.1,0,306,22.3,0.568818059950268,5643
29.1,0,306,15.8,0.6264919075712675,5524
30.1,0,306,22.0,0.7065184884652305,5643
31.1,0,408,25.2,0.761444319196592,7114
32.1,0,408,25.3,0.7618584039333868,7948
33.1,0,408,23.8,0.7621600793035012,8068
34.1,0,408,22.2,0.7621585108007102,8015
35.1,0,408,24.0,0.7622437327856819,8134
36.1,0,408,21.3,0.7622965390463085,7988
37.1,0,408,22.7,0.7623592791579441,8015
38.1,0,408,31.7,0.7624011058990344,8253
39.1,0,408,20.7,0.7625448853215326,8015
40.1,0,408,22.2,0.7624690743533064,8028
41.1,0,408,23.8,0.7625041042489695,8068
42.1,0,408,21.7,0.7627472221815573,8028
43.1,0,408,23.5,0.7626886647440309,8094
44.1,0,408,20.7,0.7629401480248367,8055
45.1,0,408,21.5,0.7629506047101093,8015
46.1,0,408,22.8,0.7630520345572535,8094
47.1,0,408,22.0,0.7630452377118263,7948
48.1,0,408,72.3,0.763201042322388,8055
49.1,0,408,83.2,0.7636747301652366,8094
50.1,0,408,84.8,0.7642059297770843,8015
51.1,0,408,84.8,0.7646785719514057,8015
52.1,0,408,86.8,0.7652050660548809,8055
53.1,0,408,85.3,0.7654382501364597,8015
54.1,0,408,86.0,0.7656222877972574,8094
55.1,0,408,83.5,0.7658695884039542,7975
56.1,0,408,86.5,0.7658465836963546,8015
57.1,0,408,84.3,0.7662047251669409,7975
58.1,0,408,85.3,0.7659851347762164,7975
59.1,0,408,85.5,0.7668885923837687,8055
60.1,0,408,84.2,0.7672535306997823,7948
61.1,0,408,84.8,0.7676393823863411,8015
62.1,0,408,86.0,0.7679300782369192,8094
63.1,0,408,84.5,0.7669053230802049,7936
64.2,0,408,71.0,0.7673575747182446,8015
65.2,0,408,32.8,0.7674522077199616,7909
66.2,0,408,80.0,0.7675405667105151,7936
67.2,0,408,83.3,0.7679556971158371,7936
68.2,0,408,82.2,0.7684701660312487,7948
69.2,0,408,81.8,0.766817486923915,7936
70.2,0,408,81.8,0.7672252976495463,7936
71.2,0,408,80.3,0.7676529760771954,8055
72.2,0,408,78.7,0.7685815297294019,7948
73.2,0,408,79.8,0.76779623266543,7975
74.2,0,408,79.2,0.7683279551115415,7909
75.2,0,408,78.0,0.768571595878393,7829
76.2,0,408,77.7,0.7689631987418516,7829
77.2,0,408,79.2,0.7683290007800687,7936
78.2,0,408,71.5,0.7667406302871614,7975
79.2,0,408,67.5,0.7680069348736728,7948
80.2,0,408,80.3,0.7662533487534585,8015
81.2,0,408,80.2,0.7664630052931741,7936
82.2,0,408,81.7,0.7667123972369255,7869
83.2,0,408,77.7,0.767181902405665,7909
84.2,0,408,81.2,0.7675520690643148,7936
85.2,0,408,79.3,0.7679285097341283,8015
86.2,0,408,82.2,0.7683107015808417,7909
87.2,0,408,79.7,0.7683886038861225,7896
88.2,0,408,77.5,0.7688037342914446,7936
89.2,0,408,80.2,0.7688690885743983,7896
90.2,0,408,80.7,0.7692983355048383,7869
91.2,0,408,79.5,0.7698284894481588,7869
92.2,0,408,80.5,0.7700282121368655,7869
93.2,0,408,67.7,0.7695534786254896,8134
94.2,0,408,80.8,0.7610955887427509,7975
95.2,0,408,79.7,0.7615933269617264,7936
96.2,0,408,82.3,0.7620764258213203,7988
97.2,0,408,81.5,0.7611489178376412,7909
98.2,0,408,79.2,0.7617219441905794,8015
99.2,0,408,80.5,0.7621130242197744,8055
100.2,0,408,78.7,0.7621715816573009,7948
101.2,0,408,80.5,0.7614918971145823,7896
102.2,0,408,76.8,0.7612456421764127,7829
103.2,0,408,66.3,0.7605168112129127,7975
104.2,0,408,76.7,0.7596426323241238,8055
105.2,0,408,82.5,0.7593184750806733,8055
106.2,0,408,42.0,0.7580913830639343,8094
107.2,0,408,25.7,0.7583846930858306,8028
108.2,0,408,24.2,0.7583684852236581,8028
109.2,0,408,23.5,0.7583653482180762,7829
110.2,0,408,26.0,0.7565349054611085,6041
111.2,0,408,16.5,0.7482871949523489,5175
112.3,0,408,23.5,0.45753801527930854,5842
113.3,0,306,10.2,0.35991440157435856,4936
114.3,0,306,15.5,0.3598647323193137,5405
115.3,0,306,6.3,0.3599070818946677,4816
